year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,7,AA,"American Airlines Inc.",BUR,"Burbank, CA: Bob Hope",119,24,11,0,2,0,11,0,1,2423,1523,0,61,1,838
2023,7,AA,"American Airlines Inc.",BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",333,127,43,8,20,1,55,5,0,9136,2644,512,880,95,5005
2023,7,AA,"American Airlines Inc.",BZN,"Bozeman, MT: Bozeman Yellowstone International",98,32,12,1,8,0,11,0,0,1710,680,75,266,0,689
2023,7,AA,"American Airlines Inc.",CAE,"Columbia, SC: Columbia Metropolitan",62,17,5,0,3,0,9,1,0,1145,225,4,176,0,740
2023,7,AA,"American Airlines Inc.",CHS,"Charleston, SC: Charleston AFB/International",438,157,46,9,37,1,64,6,2,10280,3434,736,1406,47,4657
2023,7,AA,"American Airlines Inc.",CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",92,37,9,1,6,0,21,0,0,3966,1396,57,271,0,2242
2023,7,AA,"American Airlines Inc.",CLE,"Cleveland, OH: Cleveland-Hopkins International",468,164,51,11,28,0,73,9,4,13906,5138,1225,1133,5,6405
2023,7,AA,"American Airlines Inc.",CLT,"Charlotte, NC: Charlotte Douglas International",10072,2806,691,150,652,4,1308,201,24,310431,98773,13865,38415,149,159229
2023,7,AA,"American Airlines Inc.",CMH,"Columbus, OH: John Glenn Columbus International",362,116,38,4,21,0,53,3,3,12103,3182,1592,1006,10,6313
2023,7,AA,"American Airlines Inc.",COS,"Colorado Springs, CO: City of Colorado Springs Municipal",97,26,7,1,4,0,14,1,1,1267,270,18,152,0,827
2023,7,AA,"American Airlines Inc.",CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",292,103,34,4,21,1,43,2,3,6533,2315,347,958,19,2894
2023,7,AA,"American Airlines Inc.",DAB,"Daytona Beach, FL: Daytona Beach International",26,6,1,0,2,0,3,0,0,241,58,0,83,0,100
2023,7,AA,"American Airlines Inc.",DCA,"Washington, DC: Ronald Reagan Washington National",2422,716,169,47,196,0,304,81,25,75995,23752,4464,10570,11,37198
2023,7,AA,"American Airlines Inc.",DEN,"Denver, CO: Denver International",723,319,96,13,105,1,104,7,4,24784,7891,1293,5460,26,10114
2023,7,AA,"American Airlines Inc.",DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",14701,4142,1132,211,715,15,2069,130,26,438783,162563,16369,31163,729,227959
2023,7,AA,"American Airlines Inc.",DRO,"Durango, CO: Durango La Plata County",5,2,1,0,0,0,1,0,0,193,18,0,12,0,163
2023,7,AA,"American Airlines Inc.",DSM,"Des Moines, IA: Des Moines International",214,79,28,2,10,0,40,2,0,7412,2050,118,367,0,4877
2023,7,AA,"American Airlines Inc.",DTW,"Detroit, MI: Detroit Metro Wayne County",356,111,45,7,13,0,46,4,1,9166,3536,1011,553,40,4026
2023,7,AA,"American Airlines Inc.",ECP,"Panama City, FL: Northwest Florida Beaches International",103,37,11,0,8,0,18,0,1,2572,579,3,247,0,1743
2023,7,AA,"American Airlines Inc.",EGE,"Eagle, CO: Eagle County Regional",62,11,8,1,1,0,2,0,0,1114,1001,15,33,0,65
2023,7,AA,"American Airlines Inc.",ELP,"El Paso, TX: El Paso International",246,81,28,0,8,0,45,0,0,7736,2504,9,292,3,4928
2023,7,AA,"American Airlines Inc.",EUG,"Eugene, OR: Mahlon Sweet Field",62,17,4,0,2,0,10,0,1,2010,346,0,102,0,1562
2023,7,AA,"American Airlines Inc.",EWR,"Newark, NJ: Newark Liberty International",644,266,70,17,81,0,98,44,2,24831,6860,1600,5676,1,10694
2023,7,AA,"American Airlines Inc.",EYW,"Key West, FL: Key West International",123,28,8,1,11,0,8,0,1,2100,684,157,441,0,818
2023,7,AA,"American Airlines Inc.",FAT,"Fresno, CA: Fresno Yosemite International",236,97,33,2,8,0,54,1,0,8660,3085,52,312,0,5211
2023,7,AA,"American Airlines Inc.",FCA,"Kalispell, MT: Glacier Park International",70,19,5,1,7,0,6,1,0,1105,244,64,384,0,413
2023,7,AA,"American Airlines Inc.",FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",456,155,47,5,31,1,72,6,3,12490,3658,296,1701,74,6761
2023,7,AA,"American Airlines Inc.",FSD,"Sioux Falls, SD: Joe Foss Field",62,23,9,1,4,0,10,0,0,1409,539,31,174,0,665
